pincode,schools_per_lakh
110001,34.86
110003,12.23
110004,34.86
110006,36.83
110009,29.49
110016,29.49
110017,12.23
110020,12.23
110021,29.49
110024,12.23
110026,29.49
110032,33.7
110034,29.49
110040,29.49
110043,29.49
110048,12.23
110054,36.83
110057,29.49
110058,29.49
110059,29.49
110070,29.49
110074,29.49
110075,29.49
110081,29.49
110085,29.49
110091,33.7
110092,33.7
110093,33.7
110094,33.7
121001,86.49
121004,86.49
121101,86.49
122001,79.92
122002,79.92
122004,79.92
122008,79.92
122011,79.92
122051,79.92
122052,79.92
122102,79.92
122505,79.92
122506,79.92
123001,106.76
123023,106.76
123106,106.01
123110,106.01
123412,106.01
123501,106.01
127029,71.82
140306,143.41
141001,80.13
141116,80.13
144601,124.87
160018,19.61
171207,295.43
174316,172.15
176041,263.93
182202,342.06
192129,198.06
201001,55.09
201003,55.09
201008,116.74
201009,55.09
201301,116.74
201303,116.74
201306,116.74
201312,116.74
201314,116.74
203202,116.74
203205,117.16
203207,116.74
248159,145.3
249401,223.57
251001,71.88
281302,137.1
282001,126.76
282007,126.76
282009,126.76
282010,126.76
283105,126.76
283119,126.76
283122,126.76
283125,126.76
283202,126.76
301020,81.21
301406,81.21
301701,81.21
301704,81.21
301705,81.21
301708,81.21
301709,81.21
301713,81.21
301714,81.21
302001,123.72
303108,123.72
304001,173.38
332746,126.09
333036,126.09
335512,114.52
335525,114.52
335526,114.52
342001,119.57
360001,84.52
383205,71.48
387335,86.17
400001,96.5
400005,96.5
400006,96.5
400013,96.5
400018,96.5
400021,96.5
400028,96.5
400049,96.5
400050,96.5
400051,96.5
400053,96.5
400054,96.5
400059,96.5
400060,96.5
400063,96.5
400068,96.5
400070,96.5
400071,96.5
400074,96.5
400080,96.5
400086,96.5
400087,96.5
400097,96.5
400603,59.44
400605,59.44
400607,59.44
400612,59.44
400614,59.44
400615,59.44
400702,96.5
400708,59.44
401209,59.44
401301,59.44
403103,84.25
403529,84.25
410206,96.5
410210,96.5
411001,78.29
411004,78.29
411014,78.29
412216,78.29
413001,108.86
413002,108.86
413304,108.86
416001,95.12
416008,95.12
416115,95.12
421201,59.44
421302,59.44
421312,59.44
421503,59.44
422001,91.27
422003,91.27
422009,91.27
431001,120.7
431003,120.7
431005,120.7
431601,110.44
431602,110.44
431605,110.44
440001,85.66
440010,85.66
440015,85.66
440021,85.66
444601,99.31
444602,99.31
444906,99.31
452001,96.11
521156,109.11
530028,80.28
560001,124.81
560002,124.81
560003,124.81
560004,124.81
560008,124.81
560011,124.81
560012,124.81
560017,124.81
560025,124.81
560027,124.81
560029,124.81
560032,124.81
560034,124.81
560035,124.81
560037,124.81
560047,124.81
560064,124.81
560066,124.81
560068,124.81
560076,124.81
560078,124.81
560085,124.81
560099,124.81
560103,124.81
570001,106.79
574220,92.29
577101,124.81
583103,124.81
601103,53.06
605005,54.72
609604,85.9
625005,66.62
625520,75.26
631501,75.87
636014,67.9
637003,77.8
638506,75.63
638656,75.63
643001,91.69
673574,49.2
680014,39.87
683541,40.28
685512,52.82
686564,56.23
688501,44.82
689699,72.77
695543,40.03
700019,52.24
737101,85.68
737120,249.11
737139,244.65
744202,108.78
744207,108.78
790105,230.23
790116,186.18
791001,107.77
791119,152.1
791120,152.1
791122,293.25
792110,185.23
796082,340.74
797004,100.72
799001,74.66
